ISO,FWA,FWC,MA,MC,Continent,LABEL,Classification
ABW,,,167.9,167.9,Americas,,High income
AFG,6975,6975,,,Asia,,Low income
AGO,24454.5,24454.5,420674.1,420674.1,Africa,,Lower middle income
AIA,,,855,855,Americas,,
ALB,2947.3,2947.3,9607.9,9607.9,Europe,,Upper middle income
AND,,,,,Europe,,High income
ARE,130.19,130.19,84049.5,84049.5,Asia,,High income
ARG,24858.023,24858.023,882642.851,882642.851,Americas,,Upper middle income
ARM,15403.3,15403.3,,,Asia,,Upper middle income
ASM,,,4333.6,4333.6,Oceania,,Upper middle income
ATA,,,,,Antartica,,
ATF,58.1,58.1,,,Oceania,,
ATG,,,3771.7,3771.7,Americas,SIDS,High income
AUS,2553.284,2553.284,281725.221,281725.221,Oceania,,High income
AUT,4015.313,4015.313,,,Europe,,High income
AZE,2473.65,2473.65,,,Asia,,Upper middle income
BDI,19334.04,19334.04,,,Africa,,Low income
BEL,541.2,541.2,26371.4,26371.4,Europe,,High income
BEN,33922.611,33922.611,19195.97,19195.97,Africa,,Lower middle income
BES,,,222.17,222.17,Americas,,
BFA,22480,22480,,,Africa,,Low income
BGD,3049421.1,3049421.1,845953.9,845953.9,Asia,,Lower middle income
BGR,10759.853,10759.853,11489.478,11489.478,Europe,,Upper middle income
BHR,,,15123.374,15123.374,Asia,SIDS,High income
BHS,0.8,0.8,14312.292,14312.292,Americas,SIDS,High income
BIH,5105.845,5105.845,,,Europe,,Upper middle income
BLR,13860.3,13860.3,,,Europe,,Upper middle income
BLZ,159.3,159.3,184809.72,184809.72,Americas,SIDS,Lower middle income
BMU,,,458.3,458.3,Americas,SIDS,High income
BOL,9981.45,9981.45,,,Americas,,Lower middle income
BRA,715228.78,715228.78,655227.281,655227.281,Americas,,Upper middle income
BRB,18.05,18.05,2195.4,2195.4,Americas,SIDS,High income
BRN,17.861,17.861,8239.562,8239.562,Asia,,High income
BTN,154.703,154.703,,,Asia,,Lower middle income
BVT,,,,,Antartica,,
BWA,275.1,275.1,,,Africa,,Upper middle income
CAF,33194.7,33194.7,,,Africa,,Low income
CAN,46037.103,46037.103,1121964.777,1121964.777,Americas,,High income
CCK,,,,,Asia,,
CHE,3821.944,3821.944,,,Europe,,High income
CHL,26879.609,26879.609,4170492.493,4170492.493,Americas,,High income
CHN,30308325.8,30308325.8,47927048.6,47927048.6,Asia,,Upper middle income
CIV,25949.8,25949.8,62669.684,62669.684,Africa,,Lower middle income
CMR,51549.1,51549.1,193825.782,193825.782,Africa,,Lower middle income
COD,251137.55,251137.55,5963.5,5963.5,Africa,,Low income
COG,40975.9,40975.9,,,Africa,,Lower middle income
COK,,,5935.286,5935.286,Oceania,SIDS,
COL,127432.48,127432.48,78108.28,78108.28,Americas,,Upper middle income
COM,,,28260.3,28260.3,Africa,,Lower middle income
CPV,,,28653.7,28653.7,Africa,SIDS,Lower middle income
CRI,24092.25,24092.25,20864.2,20864.2,Americas,,Upper middle income
CUB,27144.57,27144.57,29974.02,29974.02,Americas,SIDS,Upper middle income
CUW,,,26714.4,26714.4,Americas,,High income
CXR,,,,,Asia,,
CYM,,,137.5,137.5,Americas,SIDS,High income
CYP,82.291,82.291,13508.663,13508.663,Asia,,High income
CZE,26968.74,26968.74,,,Europe,,High income
DEU,43490.58,43490.58,268536.5,268536.5,Europe,,High income
DJI,,,2162.114,2162.114,Africa,,Lower middle income
DMA,,,825,825,Americas,SIDS,Upper middle income
DNK,25412.104,25412.104,837843.109,837843.109,Europe,,High income
DOM,2573.47,2573.47,14648.35,14648.35,Americas,SIDS,Upper middle income
DZA,1653.14,1653.14,115072.34,115072.34,Africa,,Lower middle income
ECU,33185.176,33185.176,1029641.058,1029641.058,Americas,,Upper middle income
EGY,507559.75,507559.75,1179838.8,1179838.8,Africa,,Lower middle income
ERI,,,4669.392,4669.392,Africa,,Low income
ESH,,,,,Africa,,
ESP,25648.8,25648.8,1327890.683,1327890.683,Europe,,High income
EST,4002.498,4002.498,85553.8,85553.8,Europe,,High income
ETH,43782.93,43782.93,,,Africa,,Low income
FIN,32944.527,32944.527,168111.286,168111.286,Europe,,High income
FJI,3023,3023,46587.15,46587.15,Oceania,SIDS,Upper middle income
FLK,1.1,1.1,,,Americas,,
FRA,46650.658,46650.658,756393.345,756393.345,Europe,,High income
FRO,,,666908.88,666908.88,Europe,,High income
FSM,,,81502.6,81502.6,Oceania,,Lower middle income
GAB,12055.4,12055.4,25414.6,25414.6,Africa,,Upper middle income
GBR,13776.383,13776.383,945111.101,945111.101,Europe,,High income
GEO,1611.12,1611.12,78924.002,78924.002,Asia,,Upper middle income
GGY,,,,,Europe,,
GHA,138738.9,138738.9,287977.48,287977.48,Africa,,Lower middle income
GIB,,,,,Europe,,High income
GIN,28209,28209,211768.3,211768.3,Africa,SIDS,Low income
GLP,8.266,8.266,4182.67,4182.67,Americas,SIDS,
GMB,3715.2,3715.2,49796.866,49796.866,Africa,,Low income
GNB,171.5,171.5,7221.3,7221.3,Africa,,Low income
GNQ,1100.2,1100.2,6029.8,6029.8,Africa,,Upper middle income
GRC,3826.639,3826.639,203899.473,203899.473,Europe,,High income
GRD,0.2,0.2,2788.95,2788.95,Americas,SIDS,Upper middle income
GRL,,,286808.8,286808.8,Americas,,High income
GTM,10267.273,10267.273,33998.9,33998.9,Americas,,Upper middle income
GUF,,,,,Americas,,
GUM,,,646.7,646.7,Oceania,SIDS,High income
GUY,1053.609,1053.609,47842.532,47842.532,Americas,SIDS,Upper middle income
HMD,,,,,Antartica,,
HND,30288.1,30288.1,42416.9,42416.9,Americas,,Lower middle income
HRV,4988.914,4988.914,84066.709,84066.709,Europe,,High income
HTI,1672.2,1672.2,16644,16644,Americas,SIDS,Lower middle income
HUN,24400.108,24400.108,,,Europe,,High income
IDN,3312070.276,3312070.276,16768244.05,16768244.05,Asia,,Lower middle income
IMN,,,,,Europe,,High income
